"Mean Opinion Score","Count","Count"
"4.2","852.000","1219.000"
"4.1","389.000","39.000"
"4.0","291.000","340.000"
"3.9","25.000","22.000"
"3.8","24.000","23.000"
"3.7","9.000","9.000"
"3.6","89.000","116.000"
"3.5","11.000","15.000"
"3.4","6.000","9.000"
"3.3","18.000","7.000"
"3.2","50.000","13.000"
"3.1","29.000","9.000"
"3.0","7.000","2.000"
"2.9","9.000","3.000"
"2.8","11.000","6.000"
"2.7","5.000","4.000"
"2.6","7.000","5.000"
"2.5","4.000","1.000"
"2.4","6.000","2.000"
"2.3","1.000",""
"2.2","1.000","2.000"
"2.0","","2.000"
"1.9","","1.000"
"1.7","1.000","1.000"
"1.5","2.000",""
"1.0","3.000",""
